,Colorized,Mode,Augmented,MSS,Score,Accuracy,Characters,Errors,SpacesErrors,NonSpaceAccuracy,Source
211,False,bw,True,fr. 13496,104-0.9447,90.92,4736,430,103,0.06904560810810811,logs/test-htr.log
212,False,bw,True,fr. 13496,84-0.944,90.08,4736,470,102,0.0777027027027027,logs/test-htr.log
213,False,bw,True,fr. 13496,90-0.944,90.5,4736,450,103,0.07326858108108109,logs/test-htr.log
214,False,bw,True,fr. 13496,94-0.9446,90.27,4736,461,111,0.07390202702702703,logs/test-htr.log
215,False,bw,True,fr. 13496,95-0.9451,90.75,4736,438,97,0.07200168918918919,logs/test-htr.log
216,False,bw,True,fr. 13496,96-0.9457,90.31,4736,459,104,0.07495777027027027,logs/test-htr.log
217,False,bw,True,fr. 13496,97-0.9448,90.24,4736,462,108,0.07474662162162163,logs/test-htr.log
218,False,bw,True,fr. 13496,98-0.9441,90.67,4736,442,103,0.07157939189189189,logs/test-htr.log
219,False,bw,True,fr. 13496,99-0.9441,90.77,4736,437,103,0.07052364864864864,logs/test-htr.log
220,False,nobw,False,fr. 13496,66-0.9449,88.37,4736,551,91,0.09712837837837837,logs/test-htr.log
221,False,nobw,False,fr. 13496,68-0.9455,88.07,4736,565,108,0.09649493243243243,logs/test-htr.log
222,False,nobw,False,fr. 13496,74-0.9449,88.09,4736,564,108,0.09628378378378379,logs/test-htr.log
223,False,nobw,False,fr. 13496,75-0.9451,88.01,4736,568,109,0.09691722972972973,logs/test-htr.log
224,False,nobw,False,fr. 13496,80-0.9451,88.2,4736,559,96,0.09776182432432433,logs/test-htr.log
225,False,nobw,False,fr. 13496,84-0.9454,87.56,4736,589,123,0.09839527027027027,logs/test-htr.log
226,False,nobw,False,fr. 13496,85-0.9454,87.86,4736,575,112,0.09776182432432433,logs/test-htr.log
227,False,nobw,False,fr. 13496,86-0.946,88.3,4736,554,100,0.09586148648648649,logs/test-htr.log
228,False,nobw,False,fr. 13496,87-0.9455,87.94,4736,571,109,0.09755067567567567,logs/test-htr.log
229,False,nobw,False,fr. 13496,88-0.9453,88.15,4736,561,103,0.09670608108108109,logs/test-htr.log
230,False,nobw,True,fr. 13496,100-0.954,89.61,4736,492,106,0.08150337837837837,logs/test-htr.log
